percentile_bucket,games_played,points_all_situations,goals_all_situations,assists_all_situations,shots_all_situations,plus_minus,gw_goals,pp_points,sh_points,penalty_minutes,hits,blocked_shots,takeaways,giveaways,total_faceoffs,total_fol,total_fow,es_goals_against,es_goals_for,pp_assists,pp_goals,sh_assists,sh_goals,penalties,penalties_drawn,shifts,missed_shots,toi_all_situations,toi_ev,toi_es,toi_pp,toi_sh,toi_5v5,shooting_pct_all_situations,fow_pct_all_situations,d_zone_fo_pct,ev_faceoff_pct,n_zone_fo_pct,o_zone_fo_pct,es_gf_pct,pp_shooting_pct,sh_shooting_pct,pp_toi_pct_of_team,avg_toi_per_game_all_situations,avg_es_toi_per_game,avg_toi_per_shift,pp_gf_per_60,pp_g_per_60,pp_p_per_60,pp_s_per_60,sh_g_per_60,g_per_60_5v5,a_per_60_5v5,p_per_60_5v5,nst_toi_all_situations,nst_ixg_all_situations,nst_icf_all_situations,nst_iff_all_situations,nst_iscfs_all_situations,nst_hdcf_all_situations,nst_rush_attempts_all_situations,nst_rebounds_created_all_situations,nst_penalties_drawn_all_situations,nst_hits_taken_all_situations,nst_faceoffs_won_all_situations,nst_faceoffs_lost_all_situations,nst_oi_cf_5v5,nst_oi_ca_5v5,nst_oi_ff_5v5,nst_oi_fa_5v5,nst_oi_sf_5v5,nst_oi_sa_5v5,nst_oi_gf_5v5,nst_oi_ga_5v5,nst_oi_xgf_5v5,nst_oi_xga_5v5,nst_oi_scf_5v5,nst_oi_sca_5v5,nst_oi_hdcf_5v5,nst_oi_hdca_5v5,nst_oi_hdgf_5v5,nst_oi_hdga_5v5,nst_oi_off_zone_starts_5v5,nst_oi_neu_zone_starts_5v5,nst_oi_def_zone_starts_5v5,nst_ipp_all,nst_oi_cf_pct_all,nst_oi_ff_pct_all,nst_oi_sf_pct_all,nst_oi_gf_pct_all,nst_oi_xgf_pct_all,nst_oi_scf_pct_all,nst_oi_hdcf_pct_all,nst_oi_hdgf_pct_all,nst_oi_mdcf_pct_all,nst_oi_mdgf_pct_all,nst_oi_shooting_pct_all,nst_oi_save_pct_all,nst_oi_pdo_all,nst_oi_off_zone_start_pct_all,nst_g_per_60_all_situations,nst_a_per_60_all_situations,nst_p_per_60_all_situations,nst_s_per_60_all_situations,nst_ixg_per_60_all_situations,nst_icf_per_60_all_situations,nst_iff_per_60_all_situations,nst_iscfs_per_60_all_situations,nst_hdcf_per_60_all_situations,points,goals,assists,es_gf_pct_pos,es_gf_pct_neg,nst_oi_cf_pct_all_pos,nst_oi_cf_pct_all_neg,nst_oi_ff_pct_all_pos,nst_oi_ff_pct_all_neg,nst_oi_sf_pct_all_pos,nst_oi_sf_pct_all_neg,nst_oi_gf_pct_all_pos,nst_oi_gf_pct_all_neg,nst_oi_xgf_pct_all_pos,nst_oi_xgf_pct_all_neg,nst_oi_scf_pct_all_pos,nst_oi_scf_pct_all_neg,nst_oi_hdcf_pct_all_pos,nst_oi_hdcf_pct_all_neg,nst_oi_hdgf_pct_all_pos,nst_oi_hdgf_pct_all_neg,nst_oi_mdcf_pct_all_pos,nst_oi_mdcf_pct_all_neg,nst_oi_mdgf_pct_all_pos,nst_oi_mdgf_pct_all_neg
0-5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10%,-1.4370217789501536,-0.9530465214538092,-0.8353504732909651,-0.9434264091558635,-1.0864358149250855,-0.14555093917712839,-0.552814741002283,-0.4688759306971888,-0.4590552384106462,-0.9696841337916858,-0.9385771525658287,-1.1829342682401387,-1.0203331586602964,-0.9834102626273544,-0.11294639853688662,-0.09813557708135336,-0.08040867253612236,-1.2689008715738475,-1.2190502528975513,-0.46804446701849084,-0.3671371230138692,-0.4156684433212718,-0.26492576848890476,-1.06578471665615,-0.9915514011085893,-1.3408318380663147,-1.0513231009642432,-1.3057483712415605,-1.3382928041848843,-1.3382928041848843,-0.5822246088234314,-0.9253732995461899,-1.3508598687064546,-0.937700348241652,-0.07657269881333609,,-0.051331490834327774,,,-0.7871479155396103,-0.31004268614076963,-0.21517792869504387,-0.5971505310160001,-1.1365621897966438,-1.0442520212291366,-0.6761262736774545,-0.27938362455757637,-0.2761387801037247,-0.4960949107304681,-0.496660257025659,-0.10711103230557069,-0.7906887792503295,-1.2807705723345988,-1.473533166161724,-0.5062224887008457,-0.4285054145369688,-0.4718759751273939,-0.4657787541505141,-0.4518138340577218,-0.4065163269417583,-0.45013402658480406,-0.4601339165119003,-0.44437891836344684,-0.48402421878584345,-0.032738530223582564,-0.06195553465848412,-0.49771735639796794,-0.504017208956691,-0.4960204006464051,-0.5039177963431445,-0.4944405514890661,-0.5035978568293431,-0.48512153944090874,-0.48851258266727393,-0.48618082920312117,-0.4974827200542613,-0.4927565659313289,-0.5032382432684994,-0.492204922800251,-0.5006716241100343,-0.48416054815117743,-0.4759318644133663,-0.4665843244779644,-0.5022415280699828,-0.46667317827110827,-0.5934234842533405,0.23643312447759213,0.24779833295599735,0.23508791243748783,-0.07842921820695646,0.23089051406623085,0.2501937475949253,0.1744428729681655,-0.16744910702017718,0.25552706285148413,-0.188466006695171,-0.08065232364208083,0.1402767991876041,0.11809602763738604,0.16638148400080977,-0.3791292151971127,-0.5418838438699282,-0.55597634993039,0.40997001346001366,0.028815041321733216,0.1875693693170591,0.1848562073785041,0.19777041698728376,-0.011239742497834975,-1.0099539915932978,-0.8853955374663087,-1.0011281681807036,0.4836424294674012,1.5014665718415918,0.5162484291157194,-0.1910093541862825,0.6523662661824787,-0.18330059272780622,0.6572497320719815,-0.16730943779165194,0.15599161480271123,0.12217496807969858,0.6699541543888796,-0.1485222552202315,0.5664591585855677,-0.19367065237000552,0.6840180188636183,-0.0863013427681346,0.2572406166182663,0.2555303400930571,0.5289378661641453,-0.1893797455619869,0.22800152314272779,0.2962792216447083
10-20%,-1.2232911974193137,-0.8743020959500994,-0.7706351648207801,-0.8641355340424266,-0.9839672116720914,-0.17021935205142177,-0.5314030236535427,-0.45711978642688933,-0.4590552384106462,-0.7995913805993794,-0.7976171890433432,-1.0481843712992898,-0.9079603203927189,-0.8871766314736177,-0.11294639853688662,-0.09813557708135336,-0.08040867253612237,-1.1248169980437295,-1.0941673673125032,-0.4561062653883609,-0.35878373727100377,-0.4156684433212717,-0.26492576848890476,-0.8883558349442697,-0.8557957172184277,-1.1819047387997892,-0.9329475437810713,-1.1624736015405828,-1.1826925780302235,-1.1826925780302235,-0.5573471812388071,-0.850335752029795,-1.189990057033026,-0.012594443645396268,-0.07657269881333609,,-0.05133149083432777,,,0.06134917931104721,-0.2864259189930885,-0.21517792869504387,-0.3924437062829161,-0.8199299588497532,-0.7558334163388598,-0.5097003266737323,0.020377848467765382,-0.24943006566922007,-0.27800692633572405,-0.3015419964072747,-0.10711103230557069,0.027559306997874785,0.08394861735544282,0.08574744950646665,-0.4791277845042861,-0.4093208356599655,-0.4449696497374701,-0.4363538279547666,-0.4347062412822754,-0.39212675739938324,-0.44256644126991257,-0.445824012611808,-0.38314527586399066,-0.47276455769909165,-0.032738530223582564,-0.06195553465848412,-0.4727047399228533,-0.4751183803917679,-0.4713908131089126,-0.4749313276124882,-0.47126313506409184,-0.47474259429651466,-0.4632072566986498,-0.47657394033226075,-0.4619315434900962,-0.4718102811938451,-0.46941603289540934,-0.47364198354578674,-0.4687594529538946,-0.4756364164053801,-0.4605044394330185,-0.48192410786756856,-0.44246068996804117,-0.4765916948620096,-0.4528123593474267,0.11300872122847137,-0.11558849528671108,-0.11038792255469146,-0.10402994487092679,-9.169648263530055e-06,-0.11209213475715266,-0.13380603197064128,-0.1383380806570193,-0.0769967892571519,-0.13133185477290754,-0.12689302759442772,-0.08331269323134384,-0.08905930892653796,-0.08928340612948667,-0.07177671743529218,0.11073574188326858,-0.06228782808929701,-0.012396521291030761,-0.0759532352159478,-0.14338523343577741,-0.09456462318249925,-0.06194407757576014,-0.1383979138120913,-0.16055864393734848,-0.9287069979658191,-0.8221199864313466,-0.9181207537617594,0.3929880068784118,0.22397658168151213,-0.038500776805779714,0.11676953639040603,-0.01954326852331929,0.1135281740849449,0.003517922893176227,0.10973492499918618,0.39406494150395716,0.0911243333381485,0.004483609953688662,0.11963428178587038,-0.07975075391576845,0.13116384025072358,-0.0739996872875483,0.1365760934427255,0.27994167738551234,0.1591692254374411,-0.023971096965224623,0.13635278040374432,0.21675987739026512,0.21982505559248616
20-50%,-0.24995204602916368,-0.5508195080244103,-0.47111690890113783,-0.548898757593195,-0.49450655411463706,-0.31460232362289503,-0.36709669644116744,-0.3957173295211103,-0.34108523124688095,-0.108521703353627,-0.04088769844467762,-0.35466033616529624,-0.44940158790321166,-0.30547536390024754,0.04793755540954884,0.05163622240103926,0.015038263184236627,-0.38742485522929,-0.492400485264518,-0.3959444121352505,-0.3059533549201335,-0.30180506762580883,-0.2110161191977056,-0.16202519009316463,-0.27100485330026514,-0.3692314899298867,-0.43883432839726666,-0.4199174859892295,-0.3859255065040976,-0.3859255065040976,-0.45177523547949305,-0.3699352702927439,-0.3706856227295623,-0.04058770381846428,-0.01164873662427523,,0.05022126775012475,,,-0.11604412957816551,-0.0816363119227878,-0.13702817917419002,-0.3567666247958913,-0.5181918373724151,-0.48083826243975614,-0.3693052282846392,0.01037017676449618,-0.06017260474008148,-0.18588339373064117,-0.10924007708292127,-0.08333969454017806,-0.09615609932275533,-0.15976678533991692,-0.1827066495292637,-0.16951910428420455,-0.2388987603906854,-0.2020180168973759,-0.21188593590865437,-0.2059253835379507,-0.20536843005587171,-0.16720060620353241,-0.20170036463834995,-0.1282092915612266,-0.06660039861149725,-0.032738530223582564,-0.061955534658484114,-0.1929683744301647,-0.16414376047308665,-0.19677195991093585,-0.1657358162774416,-0.1972027079105015,-0.165427234844326,-0.23270391737906213,-0.18451498080006523,-0.21981680483453292,-0.18386303436790533,-0.20101389877287482,-0.16472580861438138,-0.20332020431727385,-0.16988285110031456,-0.21459686613884127,-0.1869097384083645,-0.21581211656576688,-0.170031700507433,-0.20799621004920504,0.018160568774150582,-0.008910948206677516,-0.01420909122202352,-0.015010640811145361,-0.01610409985238869,-0.017632206974600925,-0.01368889409011566,-0.001257195290303252,0.02283296847546257,-0.016494408623438084,0.026499388061086714,-0.023629493781272465,0.02182631871990412,0.017196677246892483,0.02597495622054708,-0.025197486420189444,-0.07969455785562178,-0.07134931068150624,-0.07625495514863316,-0.09841949424494253,-0.04126968024611324,-0.06331497595567588,-0.043996976913130474,-0.030789570614694922,-0.5959026676724589,-0.5077637572013908,-0.5952455899622384,-0.1489144516885534,0.04699346373336519,-0.17267390275325856,-0.00955508217597863,-0.1842269153147736,-0.0067523274048450444,-0.1779004131496812,-0.005802227386078808,-0.12680696582599973,-0.011639214007167834,-0.14876018845105646,-0.002726544410162308,-0.16217747168501312,-0.005617943270747698,-0.12417108484099333,-0.016722024150954272,-0.05972453157772475,-0.0411970563571816,-0.15669126071071562,-0.007065152941677156,-0.024456108228869764,-0.039213485090868166
50-80%,0.5777018698953618,0.10434947147447371,0.06400105958108585,0.11185316530749695,0.22542622819005292,0.1739770734734531,0.01198368638235727,-0.2753525975250325,0.30467073498370517,0.38712536234862444,0.48716650910033527,0.581554875276172,0.28787046627824975,0.2988403722158659,-0.05862733161167259,-0.03071253332811132,-0.08040867253612236,0.4411480112856112,0.44009591933149944,-0.27053765585701667,-0.23377000905733034,0.30797508444613325,0.11123760912545907,0.41453500418496714,0.38855184150774624,0.5353251362270641,0.2337437727971815,0.4897316727321542,0.5286715419028455,0.5286715419028455,-0.220740073269698,0.5658582379846314,0.5458914608935982,0.0755020880143269,-0.07657269881333609,,-0.051331490834327774,,,0.15091247619606246,-0.023764390586199842,0.22193771549738708,-0.27074677765603916,0.2877434024802243,0.32160258997377356,0.09770135260205648,-0.03052916932973767,-0.03099269009758987,-0.002303843512601317,0.08417386626982543,0.12714770861470756,0.010133852405883794,0.1011792281058072,0.09304038968947972,0.17977742507986158,0.039355701582630964,0.08904408173396808,0.08417129148754819,0.06788988406668624,0.057880139988086235,0.12428108883792359,0.09800353968652183,0.16977351908544008,0.2286784590525516,-0.032738530223582564,0.017500841748891386,0.14047201561749073,0.20832211912565218,0.14011738293890205,0.2044343705331884,0.1343039783784103,0.20065537226123786,0.12376402445589019,0.18427717228819238,0.12282826540872871,0.19510551772509022,0.1305269573939304,0.20654701792109928,0.1295674640862851,0.21030986777110955,0.11750743461875175,0.208072741142032,0.08835373848245602,0.2046789202817992,0.24202709496692437,-0.02029481136050229,-0.061078083580437016,-0.0599427728574473,-0.05972598125463716,-0.02651464372900196,-0.05901424639831717,-0.06170542795127782,-0.055626432540242125,-0.02458113780594573,-0.05984717017066532,0.0017335428899630087,0.0058285679066827295,-0.0317798622550365,-0.028078162284674624,-0.10721857958401014,-0.05731999509280402,-0.012654945114904684,-0.030492577936577198,-0.0969865252111493,-0.07548648280839369,-0.08627759904952753,-0.08639223010377771,-0.08585294175081049,-0.04115155668659235,0.10601151420900758,0.06708794178225949,0.11311638199369821,-0.1209228450642126,-0.31018873271160613,-0.121333048150001,0.05065917376535195,-0.12898135648327122,0.04773015549489701,-0.14527888764816735,0.04513801978550391,-0.12423661719467817,0.0003847908644147735,-0.14420446716441201,0.04185799220020195,-0.13380738520478042,0.04849418487823196,-0.1568274879795139,0.03643498186319966,-0.15325186067233573,-0.011727033273299593,-0.10916200803391769,0.046671908934672886,-0.14056381242282567,-0.04725946036378093
80-90%,0.7493368188957087,0.9316100308781925,0.8213878379573907,0.9207023595326196,1.0355849860546142,0.13997689387052878,0.6277792864866767,0.6215664307009984,0.38198263579089115,0.3905681805693235,0.20794551105482326,0.6847607526973307,0.8640514378057528,0.8482859473156515,0.048347973659412194,-0.03140052357049134,0.17476578826728636,0.9583650606592243,0.9593548724174576,0.6249303771223015,0.46794573538258644,0.3005909668158536,0.3115774198496331,0.48299327197511127,0.4071391975405088,0.8996215018440318,0.9348254823535713,0.9331842893413708,0.887771035650562,0.887771035650562,0.9228595079792015,0.6811605913042985,0.8634680799079908,0.23036890502881716,0.20114286189742217,,0.1658670622197666,,,0.17365342522063368,0.37284591737323725,-0.02497258091199475,0.8698837515836749,0.9895830807949467,0.8652323810206405,0.568557018250958,0.1038862321388099,0.2710096783646392,0.43314991356368154,0.32164049709154435,-0.018768644515860827,0.26888527480901375,0.39725225261889857,0.4675968072597915,0.6054900220084909,0.6972171762362346,0.6531376789423518,0.679164431838419,0.6100777178471208,0.6141490666497338,0.6137283530897915,0.6549622232407502,0.3970980903749065,0.3762799128032672,0.2789456401703208,-0.06195553465848412,0.6435233191158355,0.5833505414800976,0.6505119970832715,0.5912219401261049,0.660945050063711,0.5975113539578246,0.6781365194978037,0.6597391893282962,0.6766231550839932,0.6061819370349261,0.6477629231571914,0.5883391639980181,0.6684071844599765,0.5750329244360219,0.6787846167992525,0.6179775074664243,0.6780801514271252,0.5756741346879722,0.586693564550647,0.3167700560675104,0.19638324185057757,0.1950464691254659,0.19897495895201658,0.22036865187751656,0.20931076367427753,0.20190839368393107,0.22355927834667974,0.2499153390683457,0.19037969071596603,0.20507178496312947,0.2456727235609967,0.16150869843772112,0.1719745130184077,0.18837333108734713,0.2528595588620106,0.4485777580416385,0.436730599454149,0.2026062522720362,0.38953579964015783,0.25488995523267755,0.27778675245812284,0.22460150772498114,0.2600745244366723,0.9396857455597083,0.8294532020337408,0.9297155310042476,-0.12002421782656698,-0.34179208670918915,0.07885516823782614,-0.1969198545287147,0.050865529285696,-0.19867446537311867,0.058602287349799574,-0.2019638376721073,-0.004600049329520873,-0.24300554660502274,0.04217825975130832,-0.21610753266581334,0.07189480276071403,-0.2039093136970011,0.08819211496224101,-0.22527819035800528,-0.002417592759634418,-0.2830322619564711,0.014004250156737102,-0.20092334999077613,-0.049322935861287366,-0.2584558674534427
90-95%,0.7353542404637096,1.4689359501875725,1.4008801262889925,1.418789043807481,1.3803340368504282,0.3934035158090377,0.9886011238799023,1.4619546335752516,0.4804019614953264,0.46208284765854385,0.27919047961892907,0.677519555527984,1.0964515549867713,0.7963442219297899,0.22336952646816197,0.3193134810504218,-0.08040867253612236,0.9852553090149286,1.125993465686294,1.413280640935322,1.3381976898115315,0.33107009065147597,0.4863682801437642,0.5816736154326129,0.7132005577537881,0.9003205898755414,1.2773908934044302,1.028678158427267,0.9350627031680854,0.9350627031680854,1.6495559280470182,0.47228327019790817,0.8927527752436407,0.38444310837673296,-0.07657269881333609,,-0.051331490834327774,,,0.25406515846566907,0.47261789591512926,0.33345107167731014,1.4654764177326554,1.2436579783020336,1.049451317012246,1.0121099933894422,0.1629554493764537,0.4469346962142215,0.659220542190254,0.45825351937321257,0.1448037254766282,0.41646643445254267,0.6012389837760038,0.7119516399263304,0.20958126565280705,0.5004996062873429,0.39750080815270905,0.4116552073466225,0.4642411360049711,0.4808364714358276,0.2656410017019262,0.3710089215132116,0.11843640506369353,0.04231369093950992,-0.032738530223582564,0.675974429210014,0.30696085551695473,0.14113307417233759,0.30079110256482156,0.14425174198890164,0.3033188240152444,0.1415027166739505,0.3699058451700365,0.14693050605782063,0.34948656498698455,0.1952668760476602,0.3384865650966262,0.14093853531144132,0.3127235732955221,0.153534696339101,0.3424144526955682,0.13765216915524242,0.37912757300438565,0.144764183193339,0.11725452881551408,0.02475856875721786,-0.11181910611027743,-0.11580690288827487,-0.11250285274233782,-0.060829304929662875,-0.1124162695339188,-0.09790599081945689,-0.10254022631967584,-0.04580671913918988,-0.08922974521800658,0.00175116395592515,-0.07779095257084236,-0.17639213895125894,-0.1675599813796418,-0.062325433697385794,0.12970795136330415,0.1790999116314593,0.1914611830795805,-0.025725188085815455,0.15389969340683643,-0.006082225554289327,0.0095826226660724,0.06037974345234301,0.11372944904919845,1.6176328755001788,1.5621566280988206,1.558747369133342,-0.06888518621654272,-0.41556700575260186,0.2198236105482797,0.1410717340242525,0.1593445755618798,0.14024776193991753,0.16772787115268678,0.1385519458177698,0.12249205173035141,0.09510643999601431,0.07041651095756021,0.1294824489769755,0.23041664176275256,0.13166438340115866,0.07198377100870205,0.11968261446981256,0.03668870250571159,0.06121981647812645,0.21350303475704732,0.12881117273073073,0.1167946860687921,0.03549245034602567
95-100%,0.7607462144912636,2.5807865573840107,2.253025835177437,2.557555150364095,1.883600518163453,0.6104232269273684,1.789983998905715,2.9306790978469746,0.5528184539880784,0.41535823429328267,-0.06826080348157028,0.67369864720142,1.6086518824745581,0.972706627587537,0.21636294469722342,0.038115157169989915,0.4405725182708371,1.1590928557379827,1.4448285432796473,2.939897577493676,2.234246420410141,0.46174933409670676,0.3971521118686348,0.5943820410310459,1.1713209593107752,0.940937031399394,1.6655494895887273,1.1960567592699676,1.059680979346733,1.059680979346733,2.520718630851506,0.1827761798339553,1.001018963265931,0.6235866824730243,0.49042990430446204,,-0.051331490834327774,,,0.396403893393903,0.5238520666702996,-0.03477306332472374,2.273456848078048,1.6074820528763414,1.3421069731912558,1.5555356511622247,0.21450154393887955,0.5449914120835103,0.9725556768779308,0.5049196818132329,-0.002118086063722394,0.8653127631383288,0.9769635052920759,1.241073634974717,0.3091140259356964,0.7808556530623689,0.62187772098834,0.609230620835631,0.7364763454324962,0.5988060804849255,0.3837706905261244,0.5688018831577372,0.34622658920756993,0.02947918887986209,-0.032738530223582564,-0.061955534658484114,0.47364132199579223,0.20655744618913396,0.4825200855485097,0.21912072100139537,0.49323992081264084,0.22922707376921356,0.6169693108615724,0.2771696578709672,0.5745974392511707,0.2760289305827505,0.5225155383425809,0.2059991597854156,0.5216286993586353,0.2257669973880836,0.5742520678132781,0.22904606964225316,0.6536618221385194,0.27281855242744063,0.1442944133881156,0.17835711797052226,-0.05292665923400222,-0.05556202485523463,-0.054362489551017336,-0.0011724201159244024,-0.04107051754068378,-0.03426925606681835,-0.03338921947048131,0.02102885105230909,-0.02994083664745933,0.02911733494839097,-0.011963670389887776,-0.14743316735709167,-0.1344083692196556,0.03759412298490709,0.2880448355892676,0.5224443387850795,0.517387499401234,0.04102924587520284,0.29892698037302495,0.09679474408976337,0.09195615947886175,0.1798239944902594,0.13317549769225537,2.8711385448661377,2.457955684580091,2.8644051586611465,0.16498070263232986,-0.4326635924875231,0.4579203521533304,0.10546807278442356,0.399945434517877,0.10532484830116089,0.382938401582819,0.10356080585763805,0.22612752266868666,0.05357158112095226,0.32139004095043633,0.08992486443963778,0.47692734062081144,0.09506475621498411,0.308166198342528,0.08038542543138545,0.17416398659545076,0.021131765170616726,0.38217957913556794,0.09210281352154377,0.1073955965309948,9.629640741988983e-05
